"variable","countyfips","year","value"
"JOBSI0C","3","1990",6384.99135408484
"JOBSI0C","7","1990",2371.28394389456
"JOBSI0C","9","1990",1928.91633025184
"JOBSI0C","11","1990",1998.06766458258
"JOBSI0C","15","1990",5287.47966543497
"JOBSI0C","17","1990",1052.1596118966
"JOBSI0C","19","1990",2656.60034911279
"JOBSI0C","21","1990",2173.0437146372
"JOBSI0C","23","1990",1102.4856254237
"JOBSI0C","25","1990",1096.35625769199
"JOBSI0C","27","1990",605.510625956449
"JOBSI0C","29","1990",7111.17892538633
"JOBSI0C","33","1990",640.239551757639
"JOBSI0C","37","1990",17487.355562113
"JOBSI0C","39","1990",2511.48353420349
"JOBSI0C","41","1990",209482.873910768
"JOBSI0C","43","1990",11094.7816676939
"JOBSI0C","45","1990",15496.3632295751
"JOBSI0C","47","1990",652.939227840277
"JOBSI0C","49","1990",5442.5319984623
"JOBSI0C","51","1990",6195.21627643325
"JOBSI0C","53","1990",217.340878145411
"JOBSI0C","55","1990",1792.11145554115
"JOBSI0C","57","1990",776.92789193461
"JOBSI0C","61","1990",775.299657696136
"JOBSI0C","63","1990",3839.91503780258
"JOBSI0C","65","1990",2253.46892171897
"JOBSI0C","67","1990",17228.0337052208
"JOBSI0C","69","1990",92772.6254927175
"JOBSI0C","71","1990",4965.97543341355
"JOBSI0C","73","1990",2319.52972627548
"JOBSI0C","75","1990",8785.22709656586
"JOBSI0C","77","1990",44062.1939171963
"JOBSI0C","79","1990",331.113751141898
"JOBSI0C","81","1990",5368.65448667416
"JOBSI0C","83","1990",8240.13549134387
"JOBSI0C","85","1990",11513.4022639156
"JOBSI0C","87","1990",10754.675720542
"JOBSI0C","89","1990",8262.46235487383
"JOBSI0C","91","1990",1117.1800701765
"JOBSI0C","93","1990",1612.13852762901
"JOBSI0C","95","1990",1806.48351320007
"JOBSI0C","97","1990",15633.3429155812
"JOBSI0C","99","1990",6186.2265099799
"JOBSI0C","101","1990",50927.0625234362
"JOBSI0C","103","1990",3155.98264566451
"JOBSI0C","105","1990",4375.3103333209
"JOBSI0C","107","1990",10705.8787972965
"JOBSI0C","109","1990",2114.89935816521
"JOBSI0C","111","1990",503.530324814567
"JOBSI0C","113","1990",2960.33985293524
"JOBSI0C","115","1990",1181.18983763406
"JOBSI0C","117","1990",13273.738515363
"JOBSI0C","119","1990",3441.80024835743
"JOBSI0C","121","1990",2462.73187410695
"JOBSI0C","123","1990",60458.4552431587
"JOBSI0C","125","1990",4569.8212885119
"JOBSI0C","500","1990",1125309.82048788
"JOBSI0C","3","1991",6379.63571827202
"JOBSI0C","7","1991",2486.07078616205
"JOBSI0C","9","1991",1909.26244027804
"JOBSI0C","11","1991",1919.80312328515
"JOBSI0C","15","1991",5573.91948496862
"JOBSI0C","17","1991",1065.15457895674
"JOBSI0C","19","1991",2698.37005584111
"JOBSI0C","21","1991",2172.7967335355
"JOBSI0C","23","1991",1140.5994598637
"JOBSI0C","25","1991",1026.96006104081
"JOBSI0C","27","1991",667.910384254644
"JOBSI0C","29","1991",7257.97908517478
"JOBSI0C","33","1991",618.705032029171
"JOBSI0C","37","1991",18172.2810126964
"JOBSI0C","39","1991",2575.74916769531
"JOBSI0C","41","1991",214074.157375352
"JOBSI0C","43","1991",11095.7098976149
"JOBSI0C","45","1991",15681.9530028151
"JOBSI0C","47","1991",993.514441723647
"JOBSI0C","49","1991",5662.16038573628
"JOBSI0C","51","1991",6241.07745685202
"JOBSI0C","53","1991",257.111936549829
"JOBSI0C","55","1991",1771.66085520372
"JOBSI0C","57","1991",731.803749724645
"JOBSI0C","61","1991",746.192032966458
"JOBSI0C","63","1991",3671.14428614649
"JOBSI0C","65","1991",2337.39386265321
"JOBSI0C","67","1991",18308.3555456995
"JOBSI0C","69","1991",96973.565053438
"JOBSI0C","71","1991",4967.31108864239
"JOBSI0C","73","1991",2498.99375213561
"JOBSI0C","75","1991",8398.27293616049
"JOBSI0C","77","1991",45130.3158785249
"JOBSI0C","79","1991",358.601122847065
"JOBSI0C","81","1991",5344.71502896569
"JOBSI0C","83","1991",8352.34380961747
"JOBSI0C","85","1991",11582.2720492882
"JOBSI0C","87","1991",11230.170345822
"JOBSI0C","89","1991",8424.43260709938
"JOBSI0C","91","1991",1223.28162136398
"JOBSI0C","93","1991",1711.55330931879
"JOBSI0C","95","1991",1733.20119513153
"JOBSI0C","97","1991",14729.8916973308
"JOBSI0C","99","1991",6019.63459049762
"JOBSI0C","101","1991",50721.8572204787
"JOBSI0C","103","1991",3276.23493262241
"JOBSI0C","105","1991",4399.45560306974
"JOBSI0C","107","1991",11103.32328397
"JOBSI0C","109","1991",2191.21610726339
"JOBSI0C","111","1991",413.03816953307
"JOBSI0C","113","1991",3280.96878186839
"JOBSI0C","115","1991",1135.70720458549
"JOBSI0C","117","1991",14166.8517506156
"JOBSI0C","119","1991",3973.8240989206
"JOBSI0C","121","1991",2323.53214541851
"JOBSI0C","123","1991",62171.2756515593
"JOBSI0C","125","1991",4476.64322360385
"JOBSI0C","500","1991",1149483.76888014
"JOBSI0C","3","1992",6505.02719549537
"JOBSI0C","7","1992",2567.3638894969
"JOBSI0C","9","1992",1943.58607740979
"JOBSI0C","11","1992",1924.06987567461
"JOBSI0C","15","1992",5707.16813011009
"JOBSI0C","17","1992",1066.76914230659
"JOBSI0C","19","1992",2810.40877773633
"JOBSI0C","21","1992",2142.71124452102
"JOBSI0C","23","1992",1176.9166125575
"JOBSI0C","25","1992",1039.6454559838
"JOBSI0C","27","1992",711.519978603938
"JOBSI0C","29","1992",7552.98693825588
"JOBSI0C","33","1992",591.5700740579
"JOBSI0C","37","1992",19182.7516696584
"JOBSI0C","39","1992",2663.21551226915
"JOBSI0C","41","1992",221558.160568862
"JOBSI0C","43","1992",11829.3750431392
"JOBSI0C","45","1992",15614.8678924947
"JOBSI0C","47","1992",3583.07411880212
"JOBSI0C","49","1992",5778.12903394204
"JOBSI0C","51","1992",6831.02535695781
"JOBSI0C","53","1992",259.22696077188
"JOBSI0C","55","1992",1845.47754100065
"JOBSI0C","57","1992",777.797503587516
"JOBSI0C","61","1992",757.086655546842
"JOBSI0C","63","1992",3692.27154328199
"JOBSI0C","65","1992",2264.39526121776
"JOBSI0C","67","1992",19192.2997710876
"JOBSI0C","69","1992",100501.488273621
"JOBSI0C","71","1992",4909.93534825796
"JOBSI0C","73","1992",2573.01685347767
"JOBSI0C","75","1992",8332.32089728477
"JOBSI0C","77","1992",46020.6852742623
"JOBSI0C","79","1992",387.248436849809
"JOBSI0C","81","1992",5415.09580450297
"JOBSI0C","83","1992",8859.40544328977
"JOBSI0C","85","1992",11986.8722252849
"JOBSI0C","87","1992",11529.8021296028
"JOBSI0C","89","1992",8261.22980321019
"JOBSI0C","91","1992",1226.18565120379
"JOBSI0C","93","1992",1843.81458618742
"JOBSI0C","95","1992",1732.7609992567
"JOBSI0C","97","1992",15088.598068989
"JOBSI0C","99","1992",6108.02767114757
"JOBSI0C","101","1992",51216.9767821602
"JOBSI0C","103","1992",3473.68949332947
"JOBSI0C","105","1992",4341.21014800996
"JOBSI0C","107","1992",11421.0966467403
"JOBSI0C","109","1992",2139.79670870708
"JOBSI0C","111","1992",302.589141011164
"JOBSI0C","113","1992",3780.18828264676
"JOBSI0C","115","1992",1090.3772324606
"JOBSI0C","117","1992",14811.3780375235
"JOBSI0C","119","1992",5500.32486708057
"JOBSI0C","121","1992",2287.86097772731
"JOBSI0C","123","1992",63389.920363162
"JOBSI0C","125","1992",4375.98191240422
"JOBSI0C","500","1992",1173494.4606136
"JOBSI0C","3","1993",6963.10506960561
"JOBSI0C","7","1993",2741.89633475048
"JOBSI0C","9","1993",2044.12924848382
"JOBSI0C","11","1993",2074.39417893174
"JOBSI0C","15","1993",5899.58433598261
"JOBSI0C","17","1993",1059.66132654255
"JOBSI0C","19","1993",2905.34664443505
"JOBSI0C","21","1993",2194.32829824989
"JOBSI0C","23","1993",1211.02576559628
"JOBSI0C","25","1993",1076.87552007877
"JOBSI0C","27","1993",816.132938698304
"JOBSI0C","29","1993",8074.729182649
"JOBSI0C","33","1993",628.949678568462
"JOBSI0C","37","1993",20935.8616646344
"JOBSI0C","39","1993",3015.00986067602
"JOBSI0C","41","1993",231443.959398109
"JOBSI0C","43","1993",12635.7627473809
"JOBSI0C","45","1993",16916.0168234986
"JOBSI0C","47","1993",4075.41705136606
"JOBSI0C","49","1993",6147.33252747399
"JOBSI0C","51","1993",7506.53318071445
"JOBSI0C","53","1993",295.105270548595
"JOBSI0C","55","1993",1974.06753665051
"JOBSI0C","57","1993",831.007430526159
"JOBSI0C","61","1993",819.519731963733
"JOBSI0C","63","1993",3812.37322216296
"JOBSI0C","65","1993",2141.65704517513
"JOBSI0C","67","1993",20499.7620255892
"JOBSI0C","69","1993",107208.018109542
"JOBSI0C","71","1993",5122.21717292113
"JOBSI0C","73","1993",2578.3519234112
"JOBSI0C","75","1993",8667.55803409793
"JOBSI0C","77","1993",47709.6886705785
"JOBSI0C","79","1993",407.692424568282
"JOBSI0C","81","1993",5470.82414233251
"JOBSI0C","83","1993",9674.86190962824
"JOBSI0C","85","1993",12918.5575094022
"JOBSI0C","87","1993",12119.4622549828
"JOBSI0C","89","1993",8536.13204048649
"JOBSI0C","91","1993",1387.30610052685
"JOBSI0C","93","1993",2100.98415224784
"JOBSI0C","95","1993",1839.18026511853
"JOBSI0C","97","1993",16502.3679884851
"JOBSI0C","99","1993",6245.19367294365
"JOBSI0C","101","1993",52274.3699204404
"JOBSI0C","103","1993",3442.71485345386
"JOBSI0C","105","1993",4373.34944903135
"JOBSI0C","107","1993",12203.8323788471
"JOBSI0C","109","1993",2191.04206238297
"JOBSI0C","111","1993",322.269114734853
"JOBSI0C","113","1993",4310.56694577736
"JOBSI0C","115","1993",1144.24470326536
"JOBSI0C","117","1993",16141.8473122444
"JOBSI0C","119","1993",6035.89173177232
"JOBSI0C","121","1993",2377.35883568737
"JOBSI0C","123","1993",67355.7843091421
"JOBSI0C","125","1993",4623.51419427345
"JOBSI0C","500","1993",1223396.15866751
"JOBSI0C","3","1994",7390.12047018728
"JOBSI0C","7","1994",3102.68818016588
"JOBSI0C","9","1994",2111.2596711959
"JOBSI0C","11","1994",2230.85318457533
"JOBSI0C","15","1994",6360.27019249537
"JOBSI0C","17","1994",1078.97148876268
"JOBSI0C","19","1994",2967.88883224687
"JOBSI0C","21","1994",2271.28301854671
"JOBSI0C","23","1994",1169.59352803596
"JOBSI0C","25","1994",1122.66686009076
"JOBSI0C","27","1994",905.376986014904
"JOBSI0C","29","1994",8978.23811343446
"JOBSI0C","33","1994",678.147839159835
"JOBSI0C","37","1994",23301.3551608556
"JOBSI0C","39","1994",3333.63713706833
"JOBSI0C","41","1994",247040.752275519
"JOBSI0C","43","1994",13704.8225101231
"JOBSI0C","45","1994",18566.8173262622
"JOBSI0C","47","1994",4709.91678450284
"JOBSI0C","49","1994",6531.05942330184
"JOBSI0C","51","1994",8295.72434098595
"JOBSI0C","53","1994",329.887201979248
"JOBSI0C","55","1994",2186.04042249875
"JOBSI0C","57","1994",774.175335922554
"JOBSI0C","61","1994",876.67335930311
"JOBSI0C","63","1994",4058.15480490868
"JOBSI0C","65","1994",2211.91911375495
"JOBSI0C","67","1994",22514.4201735458
"JOBSI0C","69","1994",113787.24038974
"JOBSI0C","71","1994",5640.66898717886
"JOBSI0C","73","1994",2677.65914107041
"JOBSI0C","75","1994",9322.66032564197
"JOBSI0C","77","1994",50001.9682920312
"JOBSI0C","79","1994",406.898311514941
"JOBSI0C","81","1994",5639.10479806488
"JOBSI0C","83","1994",10332.263080089
"JOBSI0C","85","1994",13953.4557684608
"JOBSI0C","87","1994",12691.8635535866
"JOBSI0C","89","1994",8866.57943477506
"JOBSI0C","91","1994",1579.20507642402
"JOBSI0C","93","1994",2546.01466036595
"JOBSI0C","95","1994",1983.5876062777
"JOBSI0C","97","1994",17385.5685651426
"JOBSI0C","99","1994",6567.94355798413
"JOBSI0C","101","1994",55247.4020034741
"JOBSI0C","103","1994",3540.38822536036
"JOBSI0C","105","1994",4590.5542909525
"JOBSI0C","107","1994",13026.5129493057
"JOBSI0C","109","1994",2272.50163901789
"JOBSI0C","111","1994",333.779760067708
"JOBSI0C","113","1994",4809.28187641021
"JOBSI0C","115","1994",1196.10985604382
"JOBSI0C","117","1994",17604.4470889476
"JOBSI0C","119","1994",6923.7503021789
"JOBSI0C","121","1994",2450.93793947374
"JOBSI0C","123","1994",70742.7582986294
"JOBSI0C","125","1994",4867.23415515005
"JOBSI0C","500","1994",1278227.61442325
"JOBSI0C","3","1995",7815.5470799564
"JOBSI0C","7","1995",3450.27786289375
"JOBSI0C","9","1995",2127.57089925876
"JOBSI0C","11","1995",2249.91529260296
"JOBSI0C","15","1995",6771.71832165929
"JOBSI0C","17","1995",1125.77822939952
"JOBSI0C","19","1995",3127.98325979844
"JOBSI0C","21","1995",2339.24931019099
"JOBSI0C","23","1995",1123.593361772
"JOBSI0C","25","1995",1118.73215955341
"JOBSI0C","27","1995",998.792502450212
"JOBSI0C","29","1995",9075.35943509797
"JOBSI0C","33","1995",640.296076483832
"JOBSI0C","37","1995",25162.7849692187
"JOBSI0C","39","1995",3704.33068907174
"JOBSI0C","41","1995",258612.134388692
"JOBSI0C","43","1995",14110.0831704296
"JOBSI0C","45","1995",19583.7497693043
"JOBSI0C","47","1995",5285.04133535718
"JOBSI0C","49","1995",7030.98553516011
"JOBSI0C","51","1995",8664.955393198
"JOBSI0C","53","1995",371.993255802444
"JOBSI0C","55","1995",2258.91346713248
"JOBSI0C","57","1995",697.761773445508
"JOBSI0C","61","1995",859.99573787925
"JOBSI0C","63","1995",3875.81824598788
"JOBSI0C","65","1995",2448.77018292185
"JOBSI0C","67","1995",23852.0455971921
"JOBSI0C","69","1995",120177.963693444
"JOBSI0C","71","1995",5953.56617420987
"JOBSI0C","73","1995",2677.06057111775
"JOBSI0C","75","1995",9808.65717025026
"JOBSI0C","77","1995",52503.1823959893
"JOBSI0C","79","1995",433.92686878734
"JOBSI0C","81","1995",6021.15350330424
"JOBSI0C","83","1995",10512.8832498288
"JOBSI0C","85","1995",14596.9595388225
"JOBSI0C","87","1995",13043.4903301945
"JOBSI0C","89","1995",9181.08564386998
"JOBSI0C","91","1995",1628.84590115893
"JOBSI0C","93","1995",2839.39397018588
"JOBSI0C","95","1995",1949.73891915147
"JOBSI0C","97","1995",17768.4955743049
"JOBSI0C","99","1995",6621.97044521604
"JOBSI0C","101","1995",57674.9123177067
"JOBSI0C","103","1995",3365.31737575328
"JOBSI0C","105","1995",4677.55794079614
"JOBSI0C","107","1995",13519.2542792423
"JOBSI0C","109","1995",2273.35440660146
"JOBSI0C","111","1995",305.828241895489
"JOBSI0C","113","1995",5203.69539525681
"JOBSI0C","115","1995",1194.32091757699
"JOBSI0C","117","1995",18695.8604297099
"JOBSI0C","119","1995",7793.66605397669
"JOBSI0C","121","1995",2461.6573597218
"JOBSI0C","123","1995",73410.0378026043
"JOBSI0C","125","1995",4882.67340638391
"JOBSI0C","500","1995",1328006.76092412
"JOBSI0C","3","1996",8359.3873345262
"JOBSI0C","7","1996",3818.75469163946
"JOBSI0C","9","1996",2199.75954873092
"JOBSI0C","11","1996",2232.84377797618
"JOBSI0C","15","1996",7190.60223985115
"JOBSI0C","17","1996",1134.77293801051
"JOBSI0C","19","1996",3148.21410790582
"JOBSI0C","21","1996",2412.59126386838
"JOBSI0C","23","1996",1140.34627325337
"JOBSI0C","25","1996",1147.28125286485
"JOBSI0C","27","1996",1117.1900181261
"JOBSI0C","29","1996",9473.4356196078
"JOBSI0C","33","1996",662.477987774761
"JOBSI0C","37","1996",27015.6347240393
"JOBSI0C","39","1996",4117.13079006972
"JOBSI0C","41","1996",269883.167368244
"JOBSI0C","43","1996",14734.4279915524
"JOBSI0C","45","1996",20382.4596690619
"JOBSI0C","47","1996",4923.76183258241
"JOBSI0C","49","1996",7372.17337644805
"JOBSI0C","51","1996",8834.56255880184
"JOBSI0C","53","1996",385.247422492541
"JOBSI0C","55","1996",2484.29899782136
