"variable","regionnumber","year","value"
"JOBSI0R","1","1990",29560.1293305609
"JOBSI0R","2","1990",153231.080735876
"JOBSI0R","3","1990",1128619.36006483
"JOBSI0R","4","1990",214536.812686754
"JOBSI0R","5","1990",9723.08791017814
"JOBSI0R","6","1990",20247.3287750763
"JOBSI0R","7","1990",50927.0625234362
"JOBSI0R","8","1990",16481.8441367738
"JOBSI0R","9","1990",28983.2230170314
"JOBSI0R","10","1990",29114.6582669923
"JOBSI0R","11","1990",78789.0730764066
"JOBSI0R","12","1990",52613.8968834542
"JOBSI0R","13","1990",19241.2408808043
"JOBSI0R","14","1990",6758.0868889547
"JOBSI0R","1","1991",29297.5270507218
"JOBSI0R","2","1991",159144.840704997
"JOBSI0R","3","1991",1153175.6533777
"JOBSI0R","4","1991",219759.534783592
"JOBSI0R","5","1991",9811.04178493415
"JOBSI0R","6","1991",20046.2848551675
"JOBSI0R","7","1991",50721.8572204787
"JOBSI0R","8","1991",16642.3047448514
"JOBSI0R","9","1991",30178.5133430412
"JOBSI0R","10","1991",29842.6909310972
"JOBSI0R","11","1991",80536.542126898
"JOBSI0R","12","1991",53462.9885961037
"JOBSI0R","13","1991",19674.9336294914
"JOBSI0R","14","1991",6738.97194384611
"JOBSI0R","1","1992",29349.1041487364
"JOBSI0R","2","1992",163891.408636783
"JOBSI0R","3","1992",1179887.94351014
"JOBSI0R","4","1992",228902.30002213
"JOBSI0R","5","1992",9995.2730513354
"JOBSI0R","6","1992",20033.6455389728
"JOBSI0R","7","1992",51216.9767821602
"JOBSI0R","8","1992",16692.9103461407
"JOBSI0R","9","1992",31513.2283189434
"JOBSI0R","10","1992",31636.485415121
"JOBSI0R","11","1992",81945.4351113297
"JOBSI0R","12","1992",55638.6543137005
"JOBSI0R","13","1992",20512.458413071
"JOBSI0R","14","1992",6755.4128892586
"JOBSI0R","1","1993",30771.3182874254
"JOBSI0R","2","1993",174563.802418684
"JOBSI0R","3","1993",1230376.92236332
"JOBSI0R","4","1993",239580.835282129
"JOBSI0R","5","1993",10465.3963327927
"JOBSI0R","6","1993",20796.2443928882
"JOBSI0R","7","1993",52274.3699204404
"JOBSI0R","8","1993",17340.5430694344
"JOBSI0R","9","1993",33867.7390632712
"JOBSI0R","10","1993",34492.7981896185
"JOBSI0R","11","1993",85743.0768687106
"JOBSI0R","12","1993",60558.4169233641
"JOBSI0R","13","1993",21493.1370672369
"JOBSI0R","14","1993",7096.28470957164
"JOBSI0R","1","1994",32512.3934361738
"JOBSI0R","2","1994",184529.998688369
"JOBSI0R","3","1994",1285905.42004
"JOBSI0R","4","1994",256510.517238064
"JOBSI0R","5","1994",11148.4225718101
"JOBSI0R","6","1994",21775.9760679243
"JOBSI0R","7","1994",55247.4020034741
"JOBSI0R","8","1994",18100.9512582553
"JOBSI0R","9","1994",36961.2990330282
"JOBSI0R","10","1994",37945.7923776947
"JOBSI0R","11","1994",90774.7915910244
"JOBSI0R","12","1994",65596.6055741702
"JOBSI0R","13","1994",23182.3888023884
"JOBSI0R","14","1994",7826.70940967761
"JOBSI0R","1","1995",33340.5381032789
"JOBSI0R","2","1995",193588.001496048
"JOBSI0R","3","1995",1336419.78551928
"JOBSI0R","4","1995",269245.194412855
"JOBSI0R","5","1995",11382.9877355769
"JOBSI0R","6","1995",22159.2701783804
"JOBSI0R","7","1995",57674.9123177067
"JOBSI0R","8","1995",18663.2289681043
"JOBSI0R","9","1995",38761.331028294
"JOBSI0R","10","1995",39541.8089193366
"JOBSI0R","11","1995",94992.6573235934
"JOBSI0R","12","1995",69355.8882818392
"JOBSI0R","13","1995",24329.3641774609
"JOBSI0R","14","1995",8212.47964134235
"JOBSI0R","1","1996",34239.5679764751
"JOBSI0R","2","1996",204298.693700082
"JOBSI0R","3","1996",1382173.70981993
"JOBSI0R","4","1996",281071.876162652
"JOBSI0R","5","1996",11967.1488105133
"JOBSI0R","6","1996",22799.0001224039
"JOBSI0R","7","1996",60046.4331525998
"JOBSI0R","8","1996",19545.9713917167
"JOBSI0R","9","1996",40667.2813339423
"JOBSI0R","10","1996",40602.7239129028
"JOBSI0R","11","1996",99362.79457588
"JOBSI0R","12","1996",72949.3798226756
"JOBSI0R","13","1996",25628.3758478958
"JOBSI0R","14","1996",8429.32199354443
"JOBSI0R","1","1997",35546.6417358076
"JOBSI0R","2","1997",212224.610541038
"JOBSI0R","3","1997",1442259.05342398
"JOBSI0R","4","1997",292187.362164869
"JOBSI0R","5","1997",12707.9642557762
"JOBSI0R","6","1997",23569.1560938553
"JOBSI0R","7","1997",62835.9341285931
"JOBSI0R","8","1997",20306.583431616
"JOBSI0R","9","1997",41852.6534858307
"JOBSI0R","10","1997",42571.2906265026
"JOBSI0R","11","1997",103369.593912348
"JOBSI0R","12","1997",77822.8448725589
"JOBSI0R","13","1997",26836.6301866574
"JOBSI0R","14","1997",9010.35087714993
"JOBSI0R","1","1998",35515.7424318787
"JOBSI0R","2","1998",221285.179497283
"JOBSI0R","3","1998",1500064.21430295
"JOBSI0R","4","1998",302725.180825869
"JOBSI0R","5","1998",13364.9028395263
"JOBSI0R","6","1998",23925.2089727302
"JOBSI0R","7","1998",65189.6813463038
"JOBSI0R","8","1998",20684.0766936915
"JOBSI0R","9","1998",43327.9281972589
"JOBSI0R","10","1998",44254.274052829
"JOBSI0R","11","1998",108158.439394302
